Brasserie,Commune,Province,Principales bières,coordinates
Brasserie de Grandvoir,Neufchâteau,Luxembourg,Vaurien,"(48.3553014, 5.6948571)"
Brasserie Gulden Spoor,Wevelgem,Flandre-Occidentale,Gulden Spoor,"(50.8089591, 3.1841013)"
Brasserie Gruut,Gand,Flandre-Orientale,Gentse Gruut,"(51.0538286, 3.7250121)"
Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo","(50.9808426, 4.552216324874748)"
Gueuzerie Hanssens,Beersel,Brabant flamand,Hanssens,"(50.7288676, 4.2974772891205895)"
Brasserie Het Anker,Malines,Anvers,"Anker, Gouden Carolus, Lucifer","(51.0315949, 4.4728969)"
Brasserie Het Sas,Ypres,Flandre-Occidentale,"Sas Pils, Paulus,Yperman","(50.8521947, 2.8846047)"
Brasserie Hepta,Gesves (Strud),Namur,"Belgian Amber Ale, Session IPA","(50.4474809, 5.057128)"
Brasserie Hoegaarden ex Brasserie De Kluis (fait partie d'AB InBev),Hoegaarden,Brabant flamand,"Hoegaarden, Le Fruit défendu","(50.7741896, 4.8870343)"
Brasserie 't Hofbrouwerijke,Putte,Anvers,"Hoftrol, Hofblues, Hofelf","(51.0570823, 4.6310473)"
Brasserie Hof ten Dormaal,Haacht,Brabant flamand,Hof ten Dormaal,"(50.9769474, 4.6383121)"
Brasserie Humulus,Arendonk,Anvers,Arendonker,"(51.3202315, 5.0864557)"
Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald","(44.5620476, 7.32049)"
Brasserie L'Imprimerie,Uccle,Bruxelles,"Blanche de Saint-Job, Ekla, Stout Vandenheuvel","(47.9288739, -3.6895276)"
Brasserie Inter-Pol,Houffalize,Luxembourg,"Witte Pol, Zwarte Pol","(50.1323761, 5.7886928)"
Brasserie de Jandrain-Jandrenouille,Orp-Jauche,Brabant wallon,"IV Saison, V Cense","(50.677481900000004, 4.977242748357577)"
Brasserie Jean Tout Seul,Lessines,Hainaut,Trompeuse,"(50.7123036, 3.8301131)"
Brasserie Jessenhofke,Hasselt,Limbourg,Jessenhofke,"(50.9303735, 5.3378043)"
Brasserie Jupiler ex Brasserie Piedbœuf (fait partie du groupe AB InBev),Liège,Liège,"Jupiler, Piedbœuf","(50.6450944, 5.5736112)"
Brasserie 't Koelschip,Ostende,Flandre-Occidentale,Tank,"(51.2258565, 2.919496)"
Brasserie Kompel,Maasmechelen,Limbourg,Kompel,"(50.9634179, 5.6960212)"
Brasserie Kortrijk-Dutsel,Holsbeek,Brabant flamand,Kortrijk dUtsel,"(50.9215896, 4.7570606)"
Brasserie 't Kroontje,Lebbeke,Flandre-Orientale,Rebelle,"(51.0004013, 4.1307711)"
Brasserie La Cabane des Brasseurs,Huy,Liège,"Les 5 Merveilles de Huy, Verveine, Tilleul","(50.5180856, 5.2408138)"
Brasserie de La Gleize,Stoumont,Liège,44,"(50.4132524, 5.8457201)"
Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe","(50.6749419, 4.152957560369655)"
Brasserie des Légendes (issue de la fusion de la Brasserie des Géants et de la Brasserie Ellezelloise),Ath +  Ellezelles,Hainaut,"Quintine, Goliath, Saison Voisin, Corne du Bois des Pendus","(50.62114495, 3.7563987945579336)"
Brasserie de la Lesse,Rochefort,Namur,"Cambrée, Chinette, Rouge Croix","(50.1399564, 5.1636809)"
Brasseries de Liège,Liège,Liège,Légia,"(50.6420107, 5.5764325)"
